Sports_tags,number,overlap_num,overlap_word
스포츠,52,4,"['mbc스포츠플러스', '올댓스포츠', '스포츠사고', '스포츠서울']"
kbo,51,4,"['kbo중계', 'kbo스프링캠프', 'kbo오심', 'kbo포수']"
mlg,50,1,['mlghighlights']
mlghighlights,50,0,[]
football,50,6,"['vietnamfootball', 'asianfootball', 'asianfootballconfederation', 'americanfootball', 'sp:st=football', 'footballfights']"
슛포러브,49,0,[]
평창올림픽,44,17,"['평창올림픽개막식', '평창올림픽개회식', '평창올림픽루지', '평창올림픽사고', '2018평창올림픽', '평창올림픽해외반응', '평창올림픽홍보영상', '평창올림픽개막', '평창올림픽반응', '평창올림픽김연아', '평창올림픽폐막식', '평창올림픽일본반응', '평창올림픽인면조', '평창올림픽다시보기', '평창올림픽주제가', '윤성빈스켈레톤평창올림픽김연아손흥민아이언맨', '일본반응쇼트트랙3000계주평창올림픽']"
shootforlove,43,0,[]
야구,41,70,"['프로야구중계', '프로야구', '프로동네야구', '야구하이라이트', '동네야구', '사회인야구', '동아리야구', '야구광', '야구리그', '썩코치의야구쑈', '대학야구', '야구동아리', '야구맨', '야구선수', '야구게임', '고등야구', '야구야', '야구레슨', '야구인', '야구쑈', '야구장', '야구경기', '야구코치', '야구생활', '야구장비', '야구연습', '야구라이프', '야구팀', '한국프로야구', '프로야구실수', '야구장치어리더', '야구영상', '야구중심시즌2', '엠스플야구중심', '야구중심엠스플', '야구중심', '야구레전드', '야구주제', '야구중심lg', '야구신기록', '야구웃긴장면', '야구고의사구', '한국야구', '2017자선야구대회', '프로야구스프링캠프', '프로야구퇴장', '미녀야구팬', '도곡야구아카데미', '초딩야구', '2017희망더하기자선야구대회', '야구중심6회', '야구중심lg트윈스', 'lg야구중심', '야구중심6화', '야구중심4화', '야구중심7화', '야구중심7회', '야구심판', '일본야구유튜버', '한국일본야구', '야구중심사인훔치기', '야구최규순', '야구비디오판독', '야구중심4회', '야구공', '야구투표', '야구팬직접투표', '야구배트', '자선야구대회', '희망더하기자선야구']"
반응,38,25,"['해외반응', '일본반응', '평창반응', '개막식반응', '중국반응', '평창해외반응', '평창일본반응', '정현반응', '정현일본반응', '서양반응', '개회식반응', '평창올림픽해외반응', '세계반응', '정현서양반응', '평창올림픽반응', '평창올림픽일본반응', '정현해외반응', '정현서구권반응', '외국반응', '컬링해외반응', '일본반응평창개막식개회식김연아yunakim드론오륜기안정환', '박항서현지반응', '현지반응', '길거리반응', '일본반응쇼트트랙3000계주평창올림픽']"
mlb,37,7,"['mlb2018highlights', 'mlb2018', 'mlbplays', 'mlbhighlights2018', 'mlbtheshow', 'mlbgame', 'mlbhighlights']"
평창,37,40,"['평창올림픽', '평창동계올림픽', '평창올림픽개막식', '평창올림픽개회식', '평창개막식', '평창반응', '2018평창동계올림픽', '2018평창', '평창올림픽루지', '평창올림픽사고', '평창루지사고', '평창부상', '평창해외반응', '평창중계', '평창사고', '평창일본반응', '2018평창올림픽', '평창케이팝', '평창올림픽해외반응', '평창올림픽홍보영상', '평창올림픽개막', '평창개회식', '평창올림픽반응', '평창올림픽김연아', '평창아이돌', '평창인면조', '평창올림픽폐막식', '평창올림픽일본반응', '평창올림픽인면조', '김연아평창', '평창올림픽다시보기', '평창올림픽주제가', '평창동계올림픽여자컬링', '평창동계올림픽컬링', '윤성빈스켈레톤평창올림픽김연아손흥민아이언맨', '평창논란', '평창하이라이트', '평창아이언맨', '일본반응평창개막식개회식김연아yunakim드론오륜기안정환', '일본반응쇼트트랙3000계주평창올림픽']"
박지성,35,5,"['박지성산책세레모니', '박지성일본', '에브라박지성', '박지성퍼거슨', '박지성스폐셜']"
1분베어스,34,0,[]
goal,34,12,"['allgoals&highlightscommentary', 'goalsandhighlights', 'goals', 'zlatanibrahimovicgoals', 'germanyvsfrancefullmatch-highlights&goals', 'valenciavsbarcelonaallgoals', 'harrykanegoal', 'barcelonavsceltavigo4-0allgoals&highlights', 'allgoals', 'atleticomadridvsrealmadridallgoals', 'messigoal', 'williangoal']"
스포티비,34,2,"['베어스포티비중계', '베어스포티비']"
베어스포티비중계,34,0,[]
베어스tv,34,0,[]
올림픽,34,29,"['평창올림픽', '평창동계올림픽', '평창올림픽개막식', '평창올림픽개회식', '평양올림픽', '올림픽개막식', '2018평창동계올림픽', '평창올림픽루지', '평창올림픽사고', '2018평창올림픽', '동계올림픽', '평창올림픽해외반응', '평창올림픽홍보영상', '평창올림픽개막', '올림픽개회식', '평창올림픽반응', '평창올림픽김연아', '평창올림픽폐막식', '평창올림픽일본반응', '평창올림픽인면조', '평창올림픽다시보기', '평창올림픽주제가', '평화올림픽', '펑창동계올림픽남자컬링', '평창동계올림픽여자컬링', '평창동계올림픽컬링', '윤성빈스켈레톤평창올림픽김연아손흥민아이언맨', '강릉올림픽파크', '일본반응쇼트트랙3000계주평창올림픽']"
두산중계,34,0,[]
두산,34,6,"['두산중계', '두산베어스시구', '두산하이라이트', '두산베어스', '두산베어스중계', '두산시구']"
베어스포티비,34,1,['베어스포티비중계']
두산베어스시구,34,0,[]
베어스하이라이트,34,0,[]
두산하이라이트,34,0,[]
베어스,34,10,"['1분베어스', '베어스포티비중계', '베어스tv', '베어스포티비', '두산베어스시구', '베어스하이라이트', '두산베어스', '두산베어스중계', '잠실그리고베어스', '잠실베어스']"
두산베어스,34,2,"['두산베어스시구', '두산베어스중계']"
두산베어스중계,34,0,[]
bearspotv,34,0,[]
잠실직캠,34,0,[]
잠실그리고베어스,34,0,[]
잠실베어스,34,0,[]
두산시구,34,0,[]
온더레코드,34,0,[]
kbo중계,34,0,[]
프로야구중계,34,0,[]
kbl,33,0,[]
프로야구,33,5,"['프로야구중계', '한국프로야구', '프로야구실수', '프로야구스프링캠프', '프로야구퇴장']"
korea,32,7,"['koreachina', 'koreabaseball', 'koreajapan2017', 'koreajapan4-1', 'koreajapan', 'korean', 'southkorea']"
highlight,32,144,"['highlights', 'gamehighlights', 'nbahighlights', 'mlghighlights', 'fullgamehighlights', 'rapidhighlights', 'allgoals&highlightscommentary', 'alletore&highlightsmitkommentar', 'goalsandhighlights', 'tuttiigoleglihighlightscommentati', 'clevelandcavaliersvsbostoncelticsfullgamehighlights', 'celticsvscavaliersfullgamehighlights', 'clevelandcavaliersvsbostoncelticshighlights', 'cavaliersvscelticsfullgamehighlights', 'raptorsvscavaliersfullgamehighlights', 'clevelandcavaliersvstorontoraptorshighlights', 'clevelandcavaliersvstorontoraptorsfullgamehighlights', 'cavaliersvsraptorsfullgamehighlights', 'goldenstatewarriorsvsneworleanspelicanshighlights', 'pelicansvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsneworleanspelicansfullgamehighlights', 'gswarriorsvspelicansfullgamehighlights', 'nbahighlights2018', 'clevelandcavaliersvsgoldenstatewarriorsfullgamehighlights', 'gswarriorsvsspursfullgamehighlights', 'goldenstatewarriorsvssanantoniospurshighlights', 'goldenstatewarriorsvssanantoniospursfullgamehighlights', 'spursvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsbostoncelticshighlights', 'clevelandcavaliersvsindianapacersfullgamehighlights', 'mlb2018highlights', 'mlbhighlights2018', 'cavaliersvspacersfullgamehighlights', 'baseballhighlights', 'pacersvscavaliersfullgamehighlights', 'clevelandcavaliersvsindianapacershighlights', 'warriorsvscelticsfullgamehighlights', 'hdhighlights', 'mlbhighlights', 'chighlights', 'hyun-jinryuhighlights', 'goldenstatewarriorsvsbostoncelticsfullgamehighlights', 'cavaliersvshawksfullgamehighlights', 'clevelandcavaliersvsatlantahawksfullgamehighlights', 'clevelandcavaliersvsatlantahawkshighlights', 'germanyvsfrancefullmatch-highlights&goals', 'celticsvsbucksfullgamehighlights', 'bucksvscelticsfullgamehighlights', 'gswarriorsvsokcthunderfullgamehighlights', 'oklahomacitythundervsgoldenstatewarriorshighlights', 'okcthundervsgswarriorsfullgamehighlights', 'oklahomacitythundervsgoldenstatewarriorsfullgamehighlights', 'mavericksvsgswarriorsfullgamehighlights', 'warriorsvscavaliersfullgamehighlights', 'cavaliersvswarriorsfullgamehighlights', 'goldenstatewarriorsvsdallasmavericksfullgamehighlights', 'gswarriorsvsmavericksfullgamehighlights', 'goldenstatewarriorsvsdallasmaverickshighlights', 'clevelandcavaliersvsgoldenstatewarriorshighlights', 'cavaliersvsgswarriorsfullgamehighlights', 'gswarriorsvscavaliersfullgamehighlights', 'valenciavsbarcelonahighlights', 'barcelonahighlights', 'valenciahighlights', 'bostoncelticsvsmilwaukeebuckshighlights', 'milwaukeebucksvsbostoncelticsfullgamehighlights', 'bostoncelticsvsmilwaukeebucksfullgamehighlights', 'raptorsvscavsgame4fullgamehighlights', 'game3fullhighlights', '2019finalsgame3cavswarriorsfullhighlights', 'milwaukeebucksvsbostoncelticshighlights', 'goldenstatewarriorsvshoustonrocketshighlights', 'rocketsvsgswarriorsfullgamehighlights', 'gswarriorsvsrocketsfullgamehighlights', 'goldenstatewarriorsvshoustonrocketsfullgamehighlights', 'spursvswarriorsgame5highlights', 'sixersvscelticsfullgamehighlights', 'bostoncelticsvsphiladelphiasixershighlights', 'bostoncelticsvsphiladelphiasixersfullgamehighlights', 'celticsvssixersfullgamehighlights', 'gmae7westfinalsgullhighlights', 'warriorsvsrocketsgame7highlights', 'fullgamehighlightsgame7', 'clevelandcavaliersvssacramentokingshighlights', 'goldenstatewarriorsvsnewyorkknickshighlights', 'goldenstatewarriorsvsnewyorkknicksfullgamehighlights', 'gswarriorsvsknicksfullgamehighlights', 'clevelandcavaliersvssacramentokingsfullgamehighlights', 'cavaliersvskingsfullgamehighlights', 'knicksvsgswarriorsfullgamehighlights', '#vietnamhighlights', '#highlight', 'cavaliersvsmagicfullgamehighlights', 'clevelandcavaliersvsorlandomagicfullgamehighlights', 'magicvscavaliersfullgamehighlights', 'clevelandcavaliersvsorlandomagichighlight', 'celticsvsgswarriorsfullgamehighlights', 'bostoncelticsvsgoldenstatewarriorsfullgamehighlights', 'gswarriorsvscelticsfullgamehighlights', 'kingsvscavaliersfullgamehighlights', 'stayhighlights', 'warriorsvsbullsfullgamehighlights', 'goldenstatewarriorsvschicagobullshighlights', 'bullsvswarriorsfullgamehighlights', 'goldenstatewarriorsvschicagobullsfullgamehighlights', 'barcelonavsceltavigo4-0allgoals&highlights', 'celtavigovsbarcelona0-4highlights', 'celtavigovsbarcelonahighlights', 'hawksvscavaliersfullgamehighlights', 'clevelandcavaliersvsphiladelphiasixerslakersfullgamehighlights', 'sixersvscavaliersfullgamehighlights', 'cavaliersvssixersfullgamehighlights', 'clevelandcavaliersvsphiladelphiasixershighlights', 'postgamehighlights', 'patshighlights', 'clevelandcavaliersvsoklahomacitythunderfullgamehighlights', 'thundervscavaliersfullgamehighlights', 'cavaliersvsthunderfullgamehighlights', 'oklahomacitythundervsclevelandcavaliershighlights', 'extendedhighlights', 'atleticomadridhighlights', 'atleticomadridvsrealmadridhighlights', 'cavaliersvsknicksfullgamehighlights', 'clevelandcavaliersvsnewyorkknickshighlights', 'clevelandcavaliersvsnewyorkknicksfullgamehighlights', 'gswarriorsvshawksfullgamehighlights', 'hawksvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsatlantahawkshighlights', 'goldenstatewarriorsvsatlantahawksfullgamehighlights', 'cavaliersvshornetsfullgamehighlights', 'clevelandcavaliersvscharlottehornetshighlights', 'clevelandcavaliersvscharlottehornetsfullgamehighlights', 'goldenstatewarriorsvsmiamiheatfullgamehighlights', 'warriorsvsheatfullgamehighlights', 'goldenstatewarriorsvsmiamiheathighlights', 'nuggetsvscavaliersfullgamehighlights', 'clevelandcavaliersvsdenvernuggetshighlights', 'clevelandcavaliersvsdenvernuggetsfullgamehighlights', 'cavaliersvsnuggetsfullgamehighlights', 'netsvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsbrooklynnetshighlights', 'goldenstatewarriorsvsbrooklynnetsfullgamehighlights', 'realmadridhighlights', 'gswarriorsvsnetsfullgamehighlights']"
plays,32,4,"['mlbplays', 'baseballplays', 'bestplays', 'topplays']"
baseball,32,6,"['baseballplays', 'baseballhighlights', 'baseballgame', 'baseball2018', 'koreabaseball', 'majorleaguebaseball']"
2018,31,32,"['2018nbaplayoffs', 'wwcc2018', '2018afcu-23', '2018평창동계올림픽', 'u23chaua2018', '2018평창', 'ao2018', 'nbahighlights2018', '2018평창올림픽', 'vleague2018', 'mlb2018highlights', 'mlb2018', 'mlbhighlights2018', 'beisbol2018', 'baseball2018', '2018nbafinals', '2018playoffs', '2018season', '20180303', 'sp:dt=2018-02-04t18:30:00-05:00', '2018스프링캠프', 'king’scup2018', '????????2018', 'australianopen2018', 'valenciavsbarcelona2018', '2018월드컵', 'sp:dt=2018-01-21t15:05:00-05:00', '10.02.2018', 'plpyeongchang2018', 'pyeonchang2018', 'nuticafevleague2018', 'v-league2018']"
한국,31,23,"['한국프로야구', '한국축구', '한국일본', '일본한국', '동아시안컵축구한국-중국', '한국야구', '한국콜롬비아', '아시안컵한국일본', '한국팀추월', '한국여자컬링', '한국컬링', '한국세르비아', '한국기원', '한국일본동아시안컵', '한국일본하이라이트', '한국일본4-1', '한국일본야구', '한국콜롬비아축구', '미사모쯔한국어', '한국인', '트와이스한국어', '한국조폭', '한국테니스']"
바밤바,31,0,[]
토트넘,30,8,"['도르트문트토트넘', '토트넘본머스하이라이트', '토트넘vs본머스하이라이트', '토트넘본머스', '토트넘아포엘', '토트넘감아차기', '토트넘공격진', '손흥민토트넘골']"
박항서,29,10,"['베트남박항서', '박항서베트남', '박항서감독', '박항서카퍼레이드', '박항서축구', '박항서베트남축구', '박항서현지반응', '박항서열풍', '박항서신드롬', '박항서훈장']"
이슈,29,0,[]
power,28,0,[]
하이라이트,28,33,"['베어스하이라이트', '두산하이라이트', '야구하이라이트', '모든골하이라이트해설', '류현진하이라이트', '손흥민하이라이트', '평창하이라이트', 'la갤럭시하이라이트', 'la갤럭시lafc하이라이트', '즐라탄하이라이트', '한일전하이라이트', '스페인vs아르헨티나하이라이트', '아르헨티나스페인하이라이트', '스페인아르헨티나하이라이트', '권창훈하이라이트', '경기하이라이트', '류현진4월17일하이라이트', '오승환하이라이트', '토트넘본머스하이라이트', '토트넘vs본머스하이라이트', '에버튼전하이라이트', '한국일본하이라이트', '석현준하이라이트', '이승우하이라이트', '대한민국온두라스하이라이트', '챔스하이라이트', '일본브라질하이라이트', '추신수하이라이트', '호날두하이라이트', '브라질일본하이라이트', '타이슨하이라이트', '축구하이라이트', '유벤투스레알마드리드하이라이트']"
씨잼철,27,0,[]
월드컵,27,3,"['러시아월드컵', '월드컵브라질', '2018월드컵']"
soccer,27,2,"['soccerchannel', 'vietnamsoccer']"
이천수,27,0,[]
nbaplayoffs,27,4,"['2018nbaplayoffs', 'nbaplayoffsround2', 'nbaplayoffsconferencesemifinals', 'nbaplayoffsround1']"
kfa,27,0,[]
goldenstatewarriors,27,26,"['goldenstatewarriorsvsneworleanspelicanshighlights', 'goldenstatewarriorsvsneworleanspelicansfullgamehighlights', 'clevelandcavaliersvsgoldenstatewarriorsfullgamehighlights', 'goldenstatewarriorsvssanantoniospurshighlights', 'goldenstatewarriorsvssanantoniospursfullgamehighlights', 'goldenstatewarriorsvsbostoncelticshighlights', 'goldenstatewarriorsvsbostoncelticsfullgamehighlights', 'oklahomacitythundervsgoldenstatewarriorshighlights', 'oklahomacitythundervsgoldenstatewarriorsfullgamehighlights', 'goldenstatewarriorsvsdallasmavericksfullgamehighlights', 'goldenstatewarriorsvsdallasmaverickshighlights', 'clevelandcavaliersvsgoldenstatewarriorshighlights', 'goldenstatewarriorsvsclevelandcavaliers', 'goldenstatewarriorsvshoustonrocketshighlights', 'goldenstatewarriorsvshoustonrocketsfullgamehighlights', 'goldenstatewarriorsvsnewyorkknickshighlights', 'goldenstatewarriorsvsnewyorkknicksfullgamehighlights', 'bostoncelticsvsgoldenstatewarriorsfullgamehighlights', 'goldenstatewarriorsvschicagobullshighlights', 'goldenstatewarriorsvschicagobullsfullgamehighlights', 'goldenstatewarriorsvsatlantahawkshighlights', 'goldenstatewarriorsvsatlantahawksfullgamehighlights', 'goldenstatewarriorsvsmiamiheatfullgamehighlights', 'goldenstatewarriorsvsmiamiheathighlights', 'goldenstatewarriorsvsbrooklynnetshighlights', 'goldenstatewarriorsvsbrooklynnetsfullgamehighlights']"
homerun,27,0,[]
