Nonprofit_tags,number,overlap_num,overlap_word
부처님,5,3,"['부처님교화이야기', '부처님교화사례', '부처님이야기']"
초등학교교사,5,2,"['초등학교교사사진', '초등학교교사되는법']"
빚,5,0,[]
억제,5,0,[]
직업,5,6,"['직업에는귀천이없다', '직업병', '직업의식', '직업안전의식', '직업병예방', '직업병사례']"
긍정,5,6,"['긍정적사고', '긍정적', '긍정에너지', '긍정적인사람', '자신의삶에긍정', '긍정적생각']"
서울역태극기집회,5,0,[]
삼일절13시태극기집회상황언론보도,5,0,[]
평화,5,4,"['세계평화', '세계평화발전', '평화의소리', '하늘문화세계평화광복']"
트럼프,5,4,"['트럼프북한', '멜라니아트럼프', '트럼프나이', '트럼프연설']"
상처,5,2,"['상처받은사람들', '가족관계에서생기는마음의상처']"
아빠없이자란여자,5,0,[]
hwpl,5,0,[]
꿈뇌과학,5,0,[]
trump,5,6,"['donaldtrumpnews', 'donaldtrumpnorthkorea', 'melaniatrump', 'trumpspeech', 'trumpchina', 'donaldtrumpkorea']"
연애잘하는법,5,0,[]
프리지아,5,0,[]
의사진단,5,0,[]
꿈은왜꿀까,5,0,[]
의사연봉,5,0,[]
부부생활,4,0,[]
반백수,4,0,[]
실천,4,0,[]
맞벌이,4,0,[]
백수남편,4,0,[]
부부,4,9,"['부부관계', '부부상담', '부부싸움', '부부생활', '부부대화단절', '신혼부부', '부부싸움유머', '부부간소통방법', '부부싸움이아이에게미치는영향']"
자식관계,4,0,[]
가장,4,2,"['가장으로의역할', '당신이삶에서저지를가장큰실수는당신이실수를저지를까봐계속해서두려워하는것이다']"
다혈질성격고치기,4,0,[]
성격대물림,4,0,[]
마음나누기,4,0,[]
나누기,4,1,['마음나누기']
가장으로의역할,4,0,[]
감정표현,4,0,[]
다혈질여자,4,0,[]
다혈질성격,4,1,['다혈질성격고치기']
백수,4,2,"['반백수', '백수남편']"
집에서노는남편,4,0,[]
돈안벌고집에만있는남편,4,0,[]
중년남성,4,0,[]
알아차림효과,4,0,[]
대학생,4,0,[]
다혈질아내,4,0,[]
알아차림과수용,4,0,[]
긴장,4,1,['긴장과수행']
부모님,4,7,"['부모님용돈', '부모님의기대', '부모님의사랑', '부모님의대한감사함', '부모님선물', '부모님야단', '친정부모님제사']"
긴장과수행,4,0,[]
이해,4,4,"['상대방말이해하기', '상대방이해하기', '이해타산', '이해득실']"
마음수련,4,0,[]
우울증,4,0,[]
3년,4,0,[]
부모원망,4,0,[]
알아차림,4,2,"['알아차림효과', '알아차림과수용']"
수행자,4,1,['수행자의삶의지침']
바라봄,4,0,[]
출가,4,0,[]
욕심내려놓기,4,0,[]
박근혜탄핵1년태극기집회,4,0,[]
마음챙김,4,0,[]
성인,4,0,[]
화가남,4,0,[]
부정적인,4,1,['부정적인사람']
집안,4,0,[]
업장소멸,4,0,[]
털털한성격,4,0,[]
남동생,4,0,[]
부정적,4,5,"['부정적인', '부정적언어', '부정적단어', '부정적견해', '부정적인사람']"
감성,4,0,[]
믿음,4,2,"['오직믿음', '믿음이깨진여자친구']"
22살,4,0,[]
위선적인사람,4,0,[]
학교,4,5,"['초등학교교사', '행복학교', '초등학교교', '초등학교교사사진', '초등학교교사되는법']"
간교,4,0,[]
마음사랑,4,0,[]
수행은마음으로,4,0,[]
원수,4,0,[]
성격문제,4,0,[]
마음의작용,4,0,[]
자유로움,4,0,[]
이혼전담팀,4,0,[]
부처님교화이야기,4,0,[]
수행자의삶의지침,4,0,[]
울화통,4,0,[]
스님의강연,4,0,[]
애견샵,4,0,[]
정신적피폐,4,0,[]
내연녀손해배상위자료소송,4,0,[]
위자료수억받고이혼하면되지?,4,0,[]
책,4,5,"['아버지에대한죄책감', '책임', '해결책', '죄책감', '사회적책임']"
돌싱,4,0,[]
미련,4,2,"['미련버리기', '헤어진남자친구미련']"
손해배상,4,1,['내연녀손해배상위자료소송']
취업,4,0,[]
결혼적령기,4,0,[]
세계평화,4,2,"['세계평화발전', '하늘문화세계평화광복']"
iwpg,4,0,[]
전쟁종식,4,0,[]
ipyg,4,0,[]
dpcw,4,0,[]
사기,4,0,[]
이혼은통쾌해야합니다,4,0,[]
3월10일태극기집회,4,0,[]
이혼위자료,4,0,[]
불법승,4,0,[]
수행이란,4,0,[]
부처님교화사례,4,0,[]
조건,4,1,['엄마의조건']
죄의식,4,0,[]
망막색소변성증,4,0,[]
양심,4,0,[]
걱정,4,4,"['혼자계실어머니걱정돼요', '자식걱정', '홀로계신아버지가걱정이에요', '미래걱정']"
선한행위,4,0,[]
조카,4,0,[]
시월드,4,0,[]
직업병,4,2,"['직업병예방', '직업병사례']"
복,4,13,"['행복', '순수복음', '오직복음', '행복학교', '실패를극복한사람들', '해복해지는법', '하늘문화세계평화광복', '행복하게사시길바랍니다', '행복으로나아가는길', '모든사람은행복할수있다', '행복해지는길', '행복할권리', '행복할수있다']"
시동생,4,0,[]
돌아온싱글,4,0,[]
전도,4,1,['전도몽상']
워킹맘,4,0,[]
문재인쌍욕,4,1,['문재인쌍욕하는상인']
문재인쌍욕하는상인,4,0,[]
김정은,4,1,['김정은인공기화형식']
북한,4,11,"['북한귀순병사는1급비빌을알고있다!', '인공기화형식북한반응', '북한과의전쟁', '북한핵도발', '북한핵위력', '트럼프북한', '북한핵능력', '전쟁북한', '북한경제', '북한미사일', '북한과학']"
수료식,4,1,['유럽연합수료식']
신천지,4,0,[]
스트레스,4,2,"['스트레스해소', '스트레스예방법']"
삼보,4,0,[]
부처님이야기,4,0,[]
공사,4,0,[]
감정,4,5,"['감정표현', '감정노동자', '미운감정', '감정전염', '감정전이']"
정신상담,4,0,[]
동생,4,2,"['남동생', '시동생']"
부당한일,4,0,[]
까르마,4,0,[]
위선자들,4,0,[]
모함,4,0,[]
피해의식치료,4,0,[]
사춘기,4,0,[]
자유,4,4,"['자유로움', '자유로운연애중', '자유로운연애', '주거의자유']"
생활사,4,0,[]
거짓말,4,1,['드루킹관련부인하는김정숙김경수민주당청와대문재인검경까지거짓말']
직장상사,4,0,[]
부당한대우,4,0,[]
기도문,4,0,[]
일반회사,4,0,[]
교사의자격,4,0,[]
감정노동자,4,0,[]
교사연수,4,0,[]
직업의식,4,0,[]
초등학생,4,0,[]
정,4,69,"['정토회', '가정사', '가정', '가정형편', '긍정적사고', '긍정적', '긍정', '감정표현', '부정적인', '부정적', '정신적피폐', '걱정', '김정은', '감정', '정신상담', '감정노동자', '부정적언어', '진정한교육', '부정적단어', '혼자계실어머니걱정돼요', '자식걱정', '홀로계신아버지가걱정이에요', '대선결정적송민순문건조작', '친정어머니이사', '부정적견해', '미운감정', '결정구조', '진로결정', '결정장애', '이혼가정청소년', '한부모가정교육', '편부모가정', '한부모가정', '드루킹관련부인하는김정숙김경수민주당청와대문재인검경까지거짓말', '무상정등정각', '정법', '곽정은', '전재으이정의', '미래걱정', '북핵문제전개과정', '정신건강사업', '박정희대통령영애생일축하영상', '우정', '김정은인공기화형식', '감정전염', '감정전이', '화학공정', '文정부', '사회정의', '정년퇴임', '소년법개정', '긍정에너지', '부정에너지', '부정적인사람', '긍정적인사람', '마음의안정', '마음의안정을찾는법', '가정불화', '정진', '자신의삶에긍정', '긍정적생각', '친정제사', '친정아버지제사', '친정어머니제사', '친정부모님제사', 'mb와문재인정권전면전예고', '노무현정권적폐', '결정', '전국농민단체fta개정반발']"
피해의식,4,1,['피해의식치료']
부인,4,2,"['이혼하고싶다던사람부인입니다', '드루킹관련부인하는김정숙김경수민주당청와대문재인검경까지거짓말']"
합리,4,0,[]
교사,4,5,"['초등학교교사', '교사의자격', '교사연수', '초등학교교사사진', '초등학교교사되는법']"
부당한업무지시,4,0,[]
겸손,4,0,[]
만배,4,0,[]
위자료,4,3,"['내연녀손해배상위자료소송', '위자료수억받고이혼하면되지?', '이혼위자료']"
법률사무소,4,0,[]
부산시집,4,0,[]
포악스럽다,4,0,[]
집단따돌림,4,0,[]
따돌림,4,1,['집단따돌림']
마음의자세,4,1,['절을하는마음의자세']
아들,4,1,['모든사람은하나님의사랑하는아들딸이다']
수행은육체의노동이아니다,4,0,[]
내적갈등,4,0,[]
절을하는마음의자세,4,0,[]
절을하는원리,4,0,[]
절,4,9,"['절대적인것과상대적인것', '삼일절13시태극기집회상황언론보도', '절을하는마음의자세', '절을하는원리', '절을하는자세', '절을하는이유', '남편과대화단절', '부부대화단절', '상속절차']"
마음작용,4,0,[]
아집과아상내려놓기,4,0,[]
마음을숙인다,4,0,[]
절을하는자세,4,0,[]
절을하는이유,4,0,[]
결혼할여자,3,0,[]
자유로운연애중,3,0,[]
좋은사람만나요,3,0,[]
현명한여자인증,3,0,[]
좋은여자,3,0,[]
결혼하는꿈,3,0,[]
굿,3,0,[]
상대방말이해하기,3,0,[]
현명한여자가되는법,3,0,[]
마음수행,3,0,[]
데이트코스,3,0,[]
kimjungeun,3,0,[]
church,3,0,[]
부정적언어,3,0,[]
위압,3,0,[]
교구로,3,0,[]
기독교방송,3,0,[]
기독교간증,3,0,[]
이혼하고싶다던사람부인입니다,3,0,[]
남편이착해요,3,0,[]
남편과잠자리,3,0,[]
남편과대화하기싫어요,3,0,[]
의기소침,3,0,[]
독한아내,3,0,[]
각방,3,0,[]
주눅,3,0,[]
남편과대화단절,3,0,[]
무속인,3,0,[]
분노,3,1,['원망과분노']
남편과대화,3,2,"['남편과대화하기싫어요', '남편과대화단절']"
울음,3,0,[]
남편들이좋아하는말,3,0,[]
부부대화단절,3,0,[]
방송,3,3,"['기독교방송', '하늘문화방송', 'nktv방송']"
간증영상,3,0,[]
기독교영상,3,0,[]
cts기독교tv,3,0,[]
기독교텔레비전,3,0,[]
자유로운연애,3,1,['자유로운연애중']
선한목자교회,3,0,[]
간증,3,4,"['기독교간증', '간증영상', '박리부가사모간증', '유기성목사간증']"
내가매일기쁘게,3,0,[]
jesus,3,1,['jesuschrist']
christianity,3,0,[]
박리부가사모,3,1,['박리부가사모간증']
성경,3,0,[]
jesuschrist,3,0,[]
순수복음,3,0,[]
오직믿음,3,0,[]
세계를,3,0,[]
god,3,0,[]
박리부가사모간증,3,0,[]
오직복음,3,0,[]
혈액형,3,0,[]
경제적능력없는남친과헤어져야하나요,3,0,[]
경제적능력,3,1,['경제적능력없는남친과헤어져야하나요']
결혼의의미,3,0,[]
소개로만난사람,3,0,[]
결혼에집착하는이유,3,0,[]
듀오,3,0,[]
유기성목사간증,3,0,[]
섬김과나눔,3,0,[]
ctstv,3,0,[]
cts,3,2,"['cts기독교tv', 'ctstv']"
유기성목사,3,2,"['유기성목사간증', '유기성목사님설교강해강론말씀']"
크리스천,3,0,[]
60,3,1,['60대']
50,3,2,"['50대', '나이50']"
운명,3,0,[]
의존적인성격,3,0,[]
결혼에대한준비,3,0,[]
지켜보기,3,0,[]
의존성,3,0,[]
북핵,3,7,"['북핵문제전개과정', '북핵문제해결방안', '북핵방법론', '북핵동결', '북핵대응방안', '3차북핵위기', '북핵문제']"
김경수드루킹댓글조작단문재인대선과지지율개입,3,0,[]
김경수댓글조작연루,3,0,[]
드루킹댓글조작여론조작,3,0,[]
선생님,3,0,[]
이론,3,0,[]
눈맞춤,3,0,[]
3학년,3,0,[]
진정한교육,3,0,[]
가슴,3,1,['딸아이가가슴을아프게합니다']
어머니애인찾아나선효자,3,0,[]
애인대행,3,0,[]
신혼부부,3,0,[]
시인의시,3,0,[]
부부싸움유머,3,0,[]
창업,3,0,[]
의심,3,0,[]
무속신앙,3,0,[]
부정적단어,3,0,[]
액,3,1,['혈액형']
알아차리기,3,0,[]
명상,3,0,[]
사주팔자,3,0,[]
자각,3,0,[]
팔자,3,1,['사주팔자']
결혼위기,3,0,[]
두번째결혼,3,0,[]
바람핀남편,3,0,[]
배우자외도,3,0,[]
황혼이혼,3,0,[]
남편폭력,3,0,[]
외도,3,1,['배우자외도']
홀로키워주신어머니,3,0,[]
늦은결혼,3,0,[]
70대,3,0,[]
혼자계실어머니걱정돼요,3,0,[]
부모님용돈,3,0,[]
자식걱정,3,0,[]
사남매,3,0,[]
독립,3,0,[]
홀로계신아버지가걱정이에요,3,0,[]
용돈자금,3,0,[]
용돈,3,2,"['부모님용돈', '용돈자금']"
남편의바람,3,0,[]
문재앙탈북자활동제약및언론탄압,3,0,[]
문재앙,3,2,"['문재앙탈북자활동제약및언론탄압', '탈북자이용해먹고퉁수친문재앙']"
탈북자이용해먹고퉁수친문재앙,3,0,[]
현명한여자친구,3,0,[]
경험,3,0,[]
현명한여자,3,3,"['현명한여자인증', '현명한여자가되는법', '현명한여자친구']"
수원기도원,3,0,[]
좋은사람,3,1,['좋은사람만나요']
핸드폰중독,3,0,[]
무관심,3,1,['남자친구무관심']
대화,3,4,"['남편과대화하기싫어요', '남편과대화단절', '남편과대화', '부부대화단절']"
사고,3,2,"['긍정적사고', '교통사고']"
막말,3,0,[]
크리스찬,3,0,[]
말,3,9,"['말씀', '거짓말', '상대방말이해하기', '남편들이좋아하는말', '막말', '유기성목사님설교강해강론말씀', '말싸움', '드루킹관련부인하는김정숙김경수민주당청와대문재인검경까지거짓말', '말다툼']"
게임중독,3,0,[]
개인,3,1,['개인수행']
카톡,3,1,['밀당카톡']
송민순문건대량매크로댓글조작,3,0,[]
대선결정적송민순문건조작,3,0,[]
고부간갈등,3,0,[]
친정어머니이사,3,0,[]
주부,3,0,[]
해탈,3,0,[]
고부간,3,1,['고부간갈등']
주거의자유,3,0,[]
성령,3,1,['성령님']
십자가,3,0,[]
딸아이가가슴을아프게합니다,3,0,[]
윤석전목사,3,1,['윤석전목사님']
화,3,41,"['뒷담화', '뒷담화대처법', '담화', '평화', '화가남', '부처님교화이야기', '울화통', '세계평화', '부처님교화사례', '남편과대화하기싫어요', '남편과대화단절', '남편과대화', '부부대화단절', '대화', '세계평화발전', '관점의변화', '변화', '개별화물', '셰계화', '교화이야기', '교화사례', '하늘문화', '하늘문화방송', '기계화', '미래사회의변화', '시대의변화에적응', '시대의변화', '김정은인공기화형식', '인공기화형식北반응', '인공기화형식북한반응', '전쟁영화', '산화코발트', '화학공정', '불화', '영화', '부모불화', '평화의소리', '가정불화', '하늘문화세계평화광복', '짜증과화', '딸들에게화가나요']"
칭찬,3,0,[]
14년결혼,3,0,[]
부부간소통방법,3,0,[]
와이프,3,0,[]
보험,3,0,[]
보혈,3,0,[]
회개,3,0,[]
연세중앙교회청년회,3,0,[]
청년회,3,1,['연세중앙교회청년회']
감사,3,1,['부모님의대한감사함']
예수피,3,0,[]
흰돌산기도원,3,0,[]
수원흰돌산수양관,3,0,[]
연세중앙교회,3,1,['연세중앙교회청년회']
윤석전,3,2,"['윤석전목사', '윤석전목사님']"
목사,3,5,"['유기성목사간증', '유기성목사', '윤석전목사', '윤석전목사님', '유기성목사님설교강해강론말씀']"
흰돌산수양관,3,1,['수원흰돌산수양관']
윤석전목사님,3,0,[]
이사,3,1,['친정어머니이사']
모녀,3,1,['모녀관계']
행복학교,3,0,[]
종교연합사무실,3,0,[]
전쟁,3,13,"['전쟁종식', '북한과의전쟁', '전쟁영화', '인류최초의전쟁', '한반도에서전쟁이나면', '전쟁가능성', '전쟁북한', '北과전쟁나수천명죽어도한국에서', '현대전쟁', '전쟁중', '전쟁역사', '전쟁의원인', '전쟁종류']"
세계평화발전,3,0,[]
통일,3,0,[]
warp,3,0,[]
종연사,3,0,[]
실생활,3,0,[]
가치,3,0,[]
공동체,3,0,[]
규칙,3,1,['불규칙한생활']
전도몽상,3,0,[]
법문,3,0,[]
자기수행,3,0,[]
예의,3,0,[]
관점의변화,3,0,[]
북미회담,3,0,[]
성령님,3,0,[]
유기성목사님설교강해강론말씀,3,0,[]
그리스도,3,0,[]
허경영,3,0,[]
경서,3,0,[]
태블릿pc허위사실유포,3,0,[]
가출,3,0,[]
검찰변희재구속영장신청,3,0,[]
동거하는딸,3,0,[]
남자친구와동거,3,0,[]
속타는딸,3,0,[]
불량한딸,3,0,[]
담배,3,0,[]
딸의삶,3,0,[]
질풍노도,3,0,[]
술,3,2,"['단순한기술', '국가기술자격']"
모녀관계,3,0,[]
철없는딸,3,0,[]
습관이마음대로안바뀌어요,3,0,[]
습관,3,3,"['습관이마음대로안바뀌어요', '인간관게를좋게만드는습관', '식습관']"
공무원시험,3,0,[]
게으름,3,0,[]
시도,3,0,[]
폰만지는게임,3,0,[]
태만,3,0,[]
성질,3,0,[]
변화,3,4,"['관점의변화', '미래사회의변화', '시대의변화에적응', '시대의변화']"
동남아여행,3,0,[]
이애란tv,3,0,[]
친북좌파일색인역사교과서내용,3,0,[]
창의력,3,0,[]
유망사업아이템,3,0,[]
개별화물,3,0,[]
한국에서뜨는사업,3,0,[]
돈,3,5,"['돈에미친세상', '돈안벌고집에만있는남편', '부모님용돈', '용돈자금', '용돈']"
열심히,3,0,[]
실패위인,3,0,[]
사물,3,0,[]
인생실패사례,3,0,[]
재미,3,0,[]
당신이삶에서저지를가장큰실수는당신이실수를저지를까봐계속해서두려워하는것이다,3,0,[]
부정적견해,3,0,[]
오직크게실패를할용기가있는사람만이크게이룰수있다,3,0,[]
새로운발견,3,0,[]
기억력,3,0,[]
엄마애인,3,0,[]
집중,3,0,[]
미운감정,3,0,[]
경제,3,3,"['경제적능력없는남친과헤어져야하나요', '경제적능력', '북한경제']"
트럭,3,0,[]
운수,3,0,[]
상담,3,6,"['부부상담', '정신상담', '심리상담', '한국상담학회', '상담심리치료', '심리상담치료']"
심리상담,3,1,['심리상담치료']
결정구조,3,0,[]
진로결정,3,0,[]
상처받은사람들,3,0,[]
노후,3,0,[]
셰계화,3,0,[]
카네기평전,3,0,[]
코코마틸,3,0,[]
결정장애,3,0,[]
이재용석방,3,0,[]
고민,3,0,[]
성공학,3,0,[]
인간관게를좋게만드는습관,3,0,[]
인간관계원칙,3,0,[]
실패를극복한사람들,3,0,[]
올바른자세,3,0,[]
시국아리랑과태극기집회,3,0,[]
가족관계에서생기는마음의상처,3,0,[]
양다리,3,0,[]
좋은인간관계,3,0,[]
이혼가정청소년,3,0,[]
재혼,3,0,[]
성격차이,3,0,[]
한부모가정교육,3,0,[]
편부모,3,1,['편부모가정']
편부모가정,3,0,[]
시국아리랑(바로세움밴드),3,0,[]
한부모가정,3,1,['한부모가정교육']
사회초년생,3,0,[]
자녀양육비,3,0,[]
20살,3,0,[]
김경수에2700만원불법후원,3,0,[]
드루킹대선개입증거,3,0,[]
대통령노회찬특검대상,3,0,[]
