Educ_tags,number,overlap_num,overlap_word
119,15,2,"['119전화', '119신고']"
뉴스,14,0,[]
명상,14,0,[]
아들,14,0,[]
강사,14,4,"['김미경강사', '강사김미경', '스타강사김미경', '영어강사']"
길병원,13,0,[]
듣기,13,12,"['영어듣기', '세바시듣기', '인생강연듣기', '강연듣기', '영어듣기영화', '영어듣기평가', '영어듣기공부', '영어듣기연습', '영어듣기&읽기', '영어듣기자료', '영어듣기잘하는방법', '영어듣기공부법']"
강의,13,13,"['인터넷강의', '영어회화강의', '김미경강의', '부동산강의', '투자강의', '재테크강의', '경매무료강의', '부동산경매강의', '강의하는아이들', '중등강의', '경매강의', '주식강의', '독서강의']"
김여정,13,0,[]
강연,13,8,"['인생강연', '강연보기', '인생강연듣기', '추천강연', '세바시강연', '강연듣기', '정문정강연', '강연가']"
먹방,13,1,['우렁이먹방']
영어공부,12,6,"['영어공부법', '영어공부방법', '미드영어공부법', '영화영어공부', '미드영어공부', '실전영어공부']"
가족,12,1,['천안함유가족']
딕헌터,12,0,[]
스타강사김미경,12,0,[]
김정민박사,12,0,[]
뇌출혈,12,0,[]
상고사,11,0,[]
남중국해,11,0,[]
assassin,11,0,[]
증산도,11,0,[]
시진핑,11,0,[]
심폐소생술,11,0,[]
한일동맹,11,0,[]
경제수역,11,0,[]
한미동맹,11,0,[]
냉전,11,0,[]
nl,11,0,[]
불법이민,11,0,[]
오키나와,11,0,[]
어쎄신,11,1,['어쎄신크리드']
일대일로,11,0,[]
석유,11,0,[]
주체사상,11,0,[]
남북정상회담,11,1,['김정은남북정상회담']
텡그리,11,0,[]
신실크로드,11,0,[]
코민테른,11,0,[]
영토,11,0,[]
무당,11,0,[]
news,11,0,[]
한단고기,11,0,[]
아베,11,0,[]
환단고기,11,0,[]
선천개벽,11,0,[]
파이프라인,11,0,[]
후천개벽,11,0,[]
친중파,11,0,[]
조성제,11,0,[]
사드,11,1,['의사드라마']
삼국유사,11,0,[]
신교,11,2,"['개신교성조기', '보수개신교']"
샤머니즘,11,0,[]
개벽,11,2,"['선천개벽', '후천개벽']"
pd,11,0,[]
친미파,11,0,[]
카작,11,0,[]
이민,11,1,['불법이민']
항로,11,0,[]
유라시아,11,0,[]
가스,11,2,"['메가스터디', '조정식메가스터디']"
국제관계,11,0,[]
고대사,11,0,[]
카자흐스탄,11,0,[]
부도지,11,0,[]
무속,11,0,[]
매국노,11,0,[]
외교,11,0,[]
한미일동맹,11,0,[]
국익,11,0,[]
단군,11,0,[]
화교,11,0,[]
중앙아시아,11,0,[]
카자흐,11,1,['카자흐스탄']
마고,11,0,[]
어쎄신크리드,11,0,[]
남북통일,11,0,[]
자원,11,2,"['해외자원개발', '광물자원공사']"
조총련,11,0,[]
국제정치,11,0,[]
어세신,11,0,[]
탱그리,11,0,[]
삼국사기,11,0,[]
이더리움,10,0,[]
자존감,10,2,"['엄마의자존감공부', '엄마의자존감공주']"
심근경색,10,0,[]
협심증,10,0,[]
mktv,10,2,"['kmktv', 'mktvm']"
뇌경색,10,0,[]
우울증,10,0,[]
골든타임,10,0,[]
뇌졸중,10,0,[]
골든아워,10,0,[]
자기계발,10,0,[]
네자매의상실,10,0,[]
어쩌다어른,9,1,['어쩌다어른김미경']
seniro,9,0,[]
tapping,9,0,[]
동기부여,9,3,"['세바시동기부여', '동기부여영상', '독서동기부여']"
trigger,9,0,[]
한지이,9,0,[]
luin,9,0,[]
rappeler,9,0,[]
리얼사운드,9,0,[]
어쩌다어른김미경,9,0,[]
공무원,9,1,['9급공무원']
영어공부법,9,1,['미드영어공부법']
roleplay,9,0,[]
구조사,9,1,['응급구조사']
재테크,9,9,"['재테크하는법', '재테크강의', '재테크노하우', '아파트재테크', '재테크방법', '부동산재테크', '재테크이야기', '재테크달인', '직장인재테크']"
wang,9,0,[]
earcleaning,9,0,[]
nomnomsammieboy,9,0,[]
darling,9,0,[]
신동훈,9,0,[]
공부,9,43,"['영어공부', '영어공부법', '영어회화공부', '공부의신', '공부할때듣는음악', '공부자극', '공부법', '의사공부', '공부할때', '영어공부방법', '엄마의자존감공부', '국어공부법', '공부집중', '공부벼락치기', '공부백색소음', '시험공부', '백색소음공부', '벼락치기공부법', '공부하기싫을때', '공부할때asmr', '공부자극영상', '공부집중음악', '공부할때듣는asmr', '강성태공부법', '공부스트리밍', '공부방송', '영어발음공부', '영어듣기공부', '미드영어공부법', '영화영어공부', '미드영어공부', '영어듣기공부법', '경매공부', '경매공부동영상', '수학공부법', '특목고공부', '수학공부잘하는방법', '일본어공부', '일어공부', '독서공부', '독서공부법', '같이공부해요', '실전영어공부']"
고민,9,2,"['고민상담', '인생고민']"
펜스,9,1,['마이크펜스']
차트분석,9,0,[]
한국어,9,0,[]
mukbang,9,0,[]
unclej&mia,9,0,[]
relaxing,9,0,[]
breathing,9,0,[]
dickhunter,9,0,[]
きまぐれクック,9,0,[]
영어회화강의,8,0,[]
영국발음,8,0,[]
언니의따독,8,0,[]
영어회화패턴,8,0,[]
영국영어,8,0,[]
kbs,8,0,[]
워너원,8,2,"['워너원강다니엘', '워너원신한은행']"
독서,8,14,"['독서모임', '독서동기부여', '세바시독서법', '김봉진독서법', '독서글쓰기', '독서공부', '독서루틴', '세바시독서', '독서강의', '독서교육', '독서공부법', '독서방법', '독서법', '독서습관']"
영어회화기초,8,0,[]
영국남자,8,0,[]
책읽기,8,1,['세바시책읽기']
영어회화공부,8,0,[]
스펑키,7,0,[]
응급처치,7,0,[]
배현진,7,0,[]
볼턴,7,0,[]
엘리어트파동,7,0,[]
비트코인선물,7,0,[]
기술적분석,7,0,[]
피보나치기법,7,0,[]
인생,7,6,"['인생강연', '인생강연듣기', '인생고민', '인생상담', '황금빛내인생43', '황금빛내인생27']"
이동평균선,7,0,[]
좋은,7,3,"['의사좋은사람', '영어발음좋은배우', '좋은데이']"
이지영,7,0,[]
마음챙김,7,0,[]
알트코인,7,0,[]
불교,7,0,[]
나답게사는법,7,0,[]
카이스트,7,0,[]
역학,7,0,[]
삶의경영,7,0,[]
도연스님,7,0,[]
독서모임,7,0,[]
자기전,7,0,[]
불면증,7,0,[]
작가김새해,7,0,[]
사랑,7,1,['사랑멘토']
솜사탕보이스,7,0,[]
김새해,7,2,"['작가김새해', '김새해작가']"
치유,7,0,[]
사랑멘토,7,0,[]
기적,7,2,"['기적공장장', '기적공장']"
리치써클아카데미,7,0,[]
상처,7,0,[]
김새해작가,7,0,[]
책읽어주는여자,7,0,[]
책쓰기,7,0,[]
주식시장,7,0,[]
명리,7,0,[]
개헌,7,0,[]
하모닉패턴,7,0,[]
harmonicpattern,7,0,[]
bitcoin,7,1,['bitcoincash']
priceatcion,7,0,[]
elliottwave,7,0,[]
비트고수,7,0,[]
프라이스액션,7,0,[]
주식,7,2,"['주식시장', '주식강의']"
외환시장,7,0,[]
해외선물,7,0,[]
크루드오일,7,0,[]
hetc,7,1,['hetc파생교육클럽']
트레이딩뷰,7,0,[]
hetc파생교육클럽,7,0,[]
피보나치매매,7,0,[]
bitcoincash,7,0,[]
일목균형표,7,0,[]
thomwhat,6,0,[]
henna,6,0,[]
응급실24,6,2,"['응급실24시', '닥터스응급실24']"
시험,6,5,"['시험하루전', '시험전날', '시험잘보는법', '시험공부', '강성태시험']"
의사영화,6,0,[]
의사선생님,6,0,[]
의사직업,6,0,[]
데이나,6,0,[]
최석재,6,2,"['최석재의사', '최석재응급의학과']"
dana,6,0,[]
119전화,6,0,[]
miniyu,6,0,[]
alexa,6,0,[]
트리거,6,0,[]
팅글,6,0,[]
롤플레이,6,0,[]
hyedy,6,0,[]
meesh,6,0,[]
권회훈,6,0,[]
남자,6,4,"['영국남자', '부동산읽어주는남자', '남자아이', '내남자의비밀78']"
의사인터뷰,6,0,[]
의사진로,6,0,[]
시험하루전,6,0,[]
중간고사,6,1,['중간고사잘보는법']
귀파기,6,0,[]
빗소리,6,1,['강성태빗소리']
잠깨는,6,1,['잠깨는법']
공신폰,6,0,[]
공신강성태,6,1,['공신강성태독설']
집중력,6,3,"['집중력높이는소리', '집중력높이는음악', '집중력높이는방법']"
공부의신,6,0,[]
벼락치기,6,4,"['공부벼락치기', '벼락치기공부법', '공신벼락치기', '강성태벼락치기']"
공부할때듣는음악,6,0,[]
닥터,6,3,"['닥터스', '닥터헬기', '닥터스응급실24']"
공부자극,6,1,['공부자극영상']
중간고사잘보는법,6,0,[]
의사다큐,6,0,[]
의사연봉,6,0,[]
눈물,6,0,[]
세번스즈키,6,0,[]
공부법,6,8,"['영어공부법', '국어공부법', '벼락치기공부법', '강성태공부법', '미드영어공부법', '영어듣기공부법', '수학공부법', '독서공부법']"
연예인,6,5,"['연예인영어실력', '연예인노래', '연예인라이브', '영어발음연예인', '연예인영어']"
공인중개사,6,0,[]
최석재의사,6,0,[]
극한직업,6,2,"['극한직업응급실', '극한직업응급실의사']"
생존경제,6,1,['최진기의생존경제']
의사드라마,6,0,[]
남궁인,6,2,"['의사남궁인', '남궁인의사']"
의사유튜버,6,0,[]
의사생활,6,0,[]
집중,6,7,"['집중력', '집중력높이는소리', '공부집중', '집중잘되는음악', '집중력높이는음악', '집중력높이는방법', '공부집중음악']"
응급실24시,6,0,[]
의사적성,6,0,[]
이국종,6,0,[]
119신고,6,0,[]
의사간호사연애,6,0,[]
yt:cc=on,6,0,[]
김미경강의,6,0,[]
의사공부,6,0,[]
의사인턴,6,0,[]
의사간호사,6,1,['의사간호사연애']
의사남친,6,0,[]
의사되는법,6,0,[]
응급실의사,6,1,['극한직업응급실의사']
의사청진기,6,0,[]
닥터스응급실24,6,0,[]
응급다큐,6,0,[]
입소리,6,0,[]
공신,6,7,"['공신폰', '공신강성태', '강성태공신', '공신독설', '공신벼락치기', '공신강성태독설', '공신asmr']"
eraing,6,0,[]
인간관계,6,0,[]
고려대,6,0,[]
sol,6,3,"['신한sol', '신한sol사전예약', 'sol로시작']"
라디오스타,6,0,[]
마리텔,6,1,['강성태마리텔']
의사일상,6,0,[]
옹성우,6,1,['옹성우쏠로시작']
의사좋은사람,6,0,[]
의사봉사,6,0,[]
wannaone,6,0,[]
의사남궁인,6,0,[]
응급수술,6,0,[]
의사레지던트,6,0,[]
시험전날,6,0,[]
강성태공신,6,0,[]
공부할때,6,3,"['공부할때듣는음악', '공부할때asmr', '공부할때듣는asmr']"
수능,6,2,"['수능영어인강', '수능영어']"
영어발음,6,7,"['영어발음차이', '영어발음노래', '영어발음연습', '영어발음연예인', '영어발음교정', '영어발음좋은배우', '영어발음공부']"
정시,6,0,[]
김어준,6,0,[]
조정식,6,2,"['영어조정식', '조정식메가스터디']"
첫경험,6,0,[]
시험잘보는법,6,0,[]
메가스터디,6,1,['조정식메가스터디']
기말고사,6,1,['기말고사잘보는법']
독설,6,5,"['언니의따끈따끈독설', '따끈따끈독설', '공신독설', '강성태독설', '공신강성태독설']"
서울대,6,0,[]
강성태,6,16,"['공신강성태', '강성태공신', '강성태asmr', '강성태백색소음', '강성태독설', '강성태영어', '강성태국어', '강성태시험', '강성태빗소리', '강성태팩트폭행', '강성태수학', '강성태마리텔', '강성태영어어원', '공신강성태독설', '강성태벼락치기', '강성태공부법']"
massage,6,0,[]
토익,6,0,[]
강다니엘,6,2,"['강다니엘쏠로시작', '워너원강다니엘']"
신한은행,6,1,['워너원신한은행']
ねこてん,6,0,[]
realsound,6,0,[]
이어클리닝,6,0,[]
면도,6,0,[]
목소리,6,1,['임재범목소리']
응급구조사,6,0,[]
연세대,6,0,[]
상황극,6,0,[]
sksksk,6,0,[]
극한직업응급실,6,1,['극한직업응급실의사']
도로시,6,0,[]
마사지,6,0,[]
톰왔,6,0,[]
yuvely,6,0,[]
touko,6,0,[]
ppomo,6,0,[]
뽀모,6,0,[]
꿀꿀선아,6,0,[]
kangdaniel,6,0,[]
남궁인의사,6,0,[]
미니유,6,0,[]
suzevi,6,0,[]
기말고사잘보는법,6,0,[]
잠깨는법,6,0,[]
신한sol,6,1,['신한sol사전예약']
soy,6,0,[]
성우,6,2,"['옹성우', '옹성우쏠로시작']"
최석재응급의학과,6,0,[]
축구선수노력,5,0,[]
한국축구선수,5,0,[]
스코틀랜드발음,5,0,[]
영어회화중급,5,0,[]
기성용인터뷰,5,0,[]
영어실력늘리기,5,0,[]
동영상,5,2,"['영어회화동영상', '경매공부동영상']"
축구선수명언,5,0,[]
기성용레전드,5,0,[]
영어공부방법,5,0,[]
한국축구,5,2,"['한국축구선수', '한국축구레전드']"
기성용눈빛,5,0,[]
영어실력,5,7,"['영어실력늘리기', '영어실력더빙', '연예인영어실력', '영어실력테스트', '영어실력기초', '영어실력향상', '정현영어실력']"
프리미어리그,5,1,['프리미어리그레전드']
필라델피아,5,0,[]
기성용골,5,0,[]
이승학,5,0,[]
영어실력더빙,5,0,[]
축구대한민국,5,0,[]
부모,5,0,[]
스코틀랜드,5,2,"['스코틀랜드발음', '스코틀랜드영어']"
벙커1,5,0,[]
엄마의자존감공부,5,0,[]
현송월,5,0,[]
포옹,5,0,[]
친구들,5,0,[]
주진우,5,1,['스트레이트주진우']
다스뵈이다,5,0,[]
mb,5,3,"['mbc', 'hmbc', 'mbro']"
가카,5,0,[]
딴지,5,0,[]
인터뷰영어,5,0,[]
영어회화고급,5,0,[]
연예인영어실력,5,0,[]
스코틀랜드영어,5,0,[]
기성용명언,5,0,[]
인터뷰영상,5,0,[]
영어실력테스트,5,0,[]
기성용국대,5,0,[]
인터뷰레전드,5,0,[]
축구레전드,5,1,['한국축구레전드']
영어회화단어,5,0,[]
컴퓨터와,5,0,[]
프리미어리그레전드,5,0,[]
기성용탈압박,5,0,[]
영어실력기초,5,0,[]
인터뷰어,5,0,[]
기성용,5,9,"['기성용인터뷰', '기성용레전드', '기성용눈빛', '기성용골', '기성용명언', '기성용국대', '기성용탈압박', '기성용영어', '기성용분석']"
영어회화기본,5,0,[]
김용민,5,0,[]
다스,5,1,['다스뵈이다']
할아버지,5,0,[]
선행,5,0,[]
축구선수,5,4,"['축구선수노력', '한국축구선수', '축구선수명언', '축구선수레전드']"
반지,5,0,[]
반전,5,0,[]
최진기,5,2,"['최진기의생존경제', '최진기의경제전망']"
철구,5,0,[]
가상화폐,5,0,[]
케이,5,1,['커뮤니케이션']
스포츠,5,0,[]
영어듣기,5,8,"['영어듣기영화', '영어듣기평가', '영어듣기공부', '영어듣기연습', '영어듣기&읽기', '영어듣기자료', '영어듣기잘하는방법', '영어듣기공부법']"
축구,5,9,"['축구선수노력', '한국축구선수', '축구선수명언', '한국축구', '축구대한민국', '축구레전드', '축구선수', '축구선수레전드', '한국축구레전드']"
보석상,5,0,[]
영어회화강좌,5,0,[]
인터뷰자막,5,0,[]
축구선수레전드,5,0,[]
영어실력향상,5,0,[]
kimmikyung,5,0,[]
기성용영어,5,0,[]
마이크펜스,5,0,[]
평창,5,0,[]
한국축구레전드,5,0,[]
영어회화문법,5,0,[]
기성용분석,5,0,[]
mikyungkim,4,0,[]
강다니엘쏠로시작,4,0,[]
슈퍼앱,4,0,[]
강성태asmr,4,0,[]
신한쏠,4,0,[]
워너원강다니엘,4,0,[]
워너원신한은행,4,0,[]
신한sol사전예약,4,0,[]
옹성우쏠로시작,4,0,[]
사전예약,4,1,['신한sol사전예약']
집중력높이는소리,4,0,[]
극한직업응급실의사,4,0,[]
국어공부법,4,0,[]
공부집중,4,1,['공부집중음악']
드루킹,4,0,[]
공부벼락치기,4,0,[]
돈의이치,4,0,[]
강성태백색소음,4,0,[]
암기잘하는법,4,0,[]
공신독설,4,0,[]
강성태독설,4,1,['공신강성태독설']
파도소리,4,0,[]
유튜브김미경tv,4,0,[]
공부백색소음,4,0,[]
김경수,4,0,[]
시험공부,4,0,[]
백색소음공부,4,0,[]
집중잘되는음악,4,0,[]
심부전,4,0,[]
백색소음,4,3,"['강성태백색소음', '공부백색소음', '백색소음공부']"
강성태영어,4,1,['강성태영어어원']
벼락치기공부법,4,0,[]
영어어원,4,1,['강성태영어어원']
강성태국어,4,0,[]
사건,4,4,"['사건파일', '금요사건파일', '43사건', '4.3사건']"
성장,4,5,"['성장판', '저성장', '삼성장충기', '경제성장률', '삼성장충기문자']"
세바시동기부여,4,0,[]
motivational,4,0,[]
세바시듣기,4,0,[]
인생강연,4,1,['인생강연듣기']
세상을바꾸는시간15분,4,0,[]
강연보기,4,0,[]
혁신,4,0,[]
motivation,4,1,['motivational']
인생강연듣기,4,0,[]
추천,4,2,"['추천강연', '추천영상']"
변화,4,0,[]
스피치,4,0,[]
세상을바꾸는시간,4,1,['세상을바꾸는시간15분']
동기부여영상,4,0,[]
ted,4,1,['tedx']
추천강연,4,0,[]
세바시강연,4,0,[]
inspirational,4,0,[]
지식,4,1,['잡지식']
inspiration,4,1,['inspirational']
강연듣기,4,1,['인생강연듣기']
tedx,4,0,[]
테드,4,0,[]
제주,4,2,"['제주도', '제주이야기']"
공부하기싫을때,4,0,[]
강성태시험,4,0,[]
집중력높이는음악,4,0,[]
마복림,4,0,[]
강성태빗소리,4,0,[]
신전떡볶이,4,0,[]
맛상무,4,0,[]
아이맛있어,4,0,[]
강성태팩트폭행,4,0,[]
공부할때asmr,4,0,[]
사회문화,4,0,[]
떡볶이,4,2,"['신전떡볶이', '엽기떡볶이']"
엽기떡볶이,4,0,[]
키노시타유우카,4,0,[]
공부자극영상,4,0,[]
강성태수학,4,0,[]
신당동,4,0,[]
맛있는녀석들,4,0,[]
집중력높이는방법,4,0,[]
공부집중음악,4,0,[]
추천영상,4,0,[]
세바시,4,8,"['세바시동기부여', '세바시듣기', '세바시강연', '세바시김봉진', '세바시독서법', '세바시독서', '김봉진세바시', '세바시책읽기']"
43사건,4,0,[]
특강,4,0,[]
동백꽃,4,0,[]
소련,4,0,[]
제주도,4,0,[]
43,4,2,"['43사건', '황금빛내인생43']"
한반도,4,0,[]
4.3사건,4,0,[]
희생,4,0,[]
처참한,4,0,[]
38선,4,0,[]
제주이야기,4,0,[]
70주년,4,1,['이스라엘건국70주년과트럼프의미국대사관예루살렘이전의미']
단꿈교육,4,0,[]
이스라엘,4,2,"['이스라엘건국70주년과트럼프의미국대사관예루살렘이전의미', '이스라엘건국']"
강성태마리텔,4,0,[]
공신벼락치기,4,0,[]
강성태영어어원,4,0,[]
공부할때듣는asmr,4,0,[]
공신강성태독설,4,0,[]
기다림,4,0,[]
동백,4,1,['동백꽃']
공신asmr,4,0,[]
강성태벼락치기,4,0,[]
tv,4,8,"['카카오tv', '김미경tv', 'mktv', '유튜브김미경tv', 'kmktv', '아프리카tv', '트위치트수도네이션트게더하스스톤irl베리유투브킹갓베리berry0314tv베리berrytvberrytv', 'mktvm']"
설민석,4,0,[]
부동산강의,4,0,[]
강성태공부법,4,0,[]
선물,4,3,"['비트코인선물', '해외선물', '선물하는적금']"
생활영어,4,1,['생활영어회화']
4.3,4,1,['4.3사건']
투자강의,4,0,[]
자율학습,3,0,[]
study,3,1,['studywithme']
공시생,3,0,[]
스터디,3,3,"['메가스터디', '캠스터디', '조정식메가스터디']"
live,3,0,[]
9급공무원,3,0,[]
cam,3,2,"['vooacamxuc', 'camxucvooa']"
경시생,3,0,[]
수험생,3,0,[]
일상,3,1,['의사일상']
캠스터디,3,0,[]
군무원,3,0,[]
공부스트리밍,3,0,[]
라이브,3,3,"['연예인라이브', '임재범라이브', '가수라이브']"
공부방송,3,0,[]
가수모창,3,0,[]
대도서관,3,0,[]
유플러스,3,0,[]
러브미다이어트,3,0,[]
안선영다이어트,3,0,[]
다이어트총정리,3,0,[]
roybenavidez,3,0,[]
영웅,3,0,[]
재테크하는법,3,0,[]
기자,3,2,"['신문기자', '영어듣기자료']"
정문정강연,3,0,[]
엘지,3,0,[]
편집자,3,0,[]
고민상담,3,0,[]
홈트,3,1,['홈트레이닝ㄴ']
사춘기,3,0,[]
자녀교육,3,0,[]
노룩패스,3,0,[]
입양,3,0,[]
사장,3,1,['성대모사장인']
리차드,3,0,[]
정비소,3,0,[]
갑질,3,0,[]
정문정작가,3,0,[]
돈버는법,3,0,[]
안선영,3,1,['안선영다이어트']
홈트레이닝ㄴ,3,0,[]
두려움,3,0,[]
